seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_geolocation_lat,seller_geolocation_lng
3442f8959a84dea7ee197c632cb2df15,13023,campinas,São Paulo,-22.88840484846209,-47.06157891257428
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,São Paulo,-22.380108641051,-46.94710816986245
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,Rio de Janeiro,-22.90898279768011,-43.17714374966808
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,São Paulo,-23.657030294397497,-46.61027180883824
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,São Paulo,-22.958791155981302,-46.53571172592186
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,Rio de Janeiro,-22.89929396640145,-43.232362627738624
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,Pernambuco,-9.024839005157318,-36.57020044972058
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,São Paulo,-21.43960947934652,-50.07803711964179
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,São Paulo,-23.57059484263372,-46.6365472178718
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,Paraná,-25.458347671937226,-49.30547428905311
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,Goiás,-16.333040851685464,-48.94872161258528
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,São Paulo,-22.255650000000003,-47.81986649999999
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,São Paulo,-23.545402492353947,-46.64702152553522
05a48cc8859962767935ab9087417fbb,5372,sao paulo,São Paulo,-23.582240042057567,-46.767241858763086
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,Santa Catarina,-28.47907447960067,-49.00024758604073
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,Bahia,-12.892317573362288,-38.33214125579321
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,Santa Catarina,-28.26367376595864,-48.6881303546115
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,Distrito Federal,-15.767896499999996,-47.891961
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,Bahia,-16.48486288439997,-39.09219384872856
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,São Paulo,-23.486860791563277,-46.7301427076
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,São Paulo,-23.980400884269105,-46.23672633014024
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,São Paulo,-21.732260563950305,-48.6848751678086
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,São Paulo,-23.63368106050551,-46.62066378420568
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,São Paulo,-23.201663699145897,-47.29754520788846
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,Rio Grande do Sul,-27.772381633813275,-54.24987809136096
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,Minas Gerais,-19.95661690748416,-43.968436347881045
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,Paraná,-23.424206212693296,-51.427412355294365
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,São Paulo,-23.73481707908717,-46.58131594670784
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,São Paulo,-23.780238678140854,-46.69748874784859
